# callret-0,callret-1,callret-2
01,2014-10-15,14.14005
02,2014-10-15,18.01575
03,2014-10-15,9.75324
04,2014-10-15,21.7212
05,2014-10-15,8.432925
06,2014-10-15,14.82151
07,2014-10-15,16.35475
08,2014-10-15,10.477245
09,2014-10-15,22.4878
10,2014-10-15,16.6103
11,2014-10-15,20.5712
12,2014-10-15,19.4213
13,2014-10-15,19.6768
14,2014-10-15,20.9545
15,2014-10-15,21.2101
16,2014-10-15,17.1214
01,2014-10-16,11.1161
02,2014-10-16,15.077035
03,2014-10-16,7.79406
04,2014-10-16,22.9989
05,2014-10-16,8.94402
06,2014-10-16,11.37166
07,2014-10-16,10.47725
08,2014-10-16,9.327315
09,2014-10-16,10.7328
10,2014-10-16,9.96617
11,2014-10-16,12.3938
12,2014-10-16,16.0992
13,2014-10-16,13.7993
14,2014-10-16,15.5881
15,2014-10-16,12.2661
16,2014-10-16,14.0549
01,2014-10-17,12.819735
02,2014-10-17,12.5216
03,2014-10-17,10.3921
04,2014-10-17,12.5216
05,2014-10-17,9.58286
06,2014-10-17,10.860565
07,2014-10-17,10.988345
08,2014-10-17,9.710645
09,2014-10-17,17.888
10,2014-10-17,15.5881
11,2014-10-17,18.9102
12,2014-10-17,21.7211
13,2014-10-17,18.1436
14,2014-10-17,15.3326
15,2014-10-17,18.1436
16,2014-10-17,12.2661
01,2014-10-18,7.368150000000001
02,2014-10-18,8.177375
03,2014-10-18,4.897905
04,2014-10-18,8.432919999999999
05,2014-10-18,5.23863
06,2014-10-18,5.11086
07,2014-10-18,6.64412
08,2014-10-18,4.72755
09,2014-10-18,8.432919999999999
10,2014-10-18,6.64412
11,2014-10-18,10.349475
12,2014-10-18,9.96617
13,2014-10-18,9.96617
14,2014-10-18,10.2217
15,2014-10-18,9.71063
16,2014-10-18,8.944000000000001
01,2014-10-19,4.0461
02,2014-10-19,3.83315
03,2014-10-19,4.514595
04,2014-10-19,4.85532
05,2014-10-19,4.59978
06,2014-10-19,3.83315
07,2014-10-19,4.85532
08,2014-10-19,3.5776
09,2014-10-19,5.87749
10,2014-10-19,4.08869
11,2014-10-19,5.238635
12,2014-10-19,5.87749
13,2014-10-19,4.34423
14,2014-10-19,5.87749
15,2014-10-19,4.85532
16,2014-10-19,5.11086
01,2014-10-20,7.325555
02,2014-10-20,8.81621
03,2014-10-20,5.32381
04,2014-10-20,9.71063
05,2014-10-20,4.855315
06,2014-10-20,6.77189
07,2014-10-20,7.66629
08,2014-10-20,6.644115
09,2014-10-20,9.19955
10,2014-10-20,10.7328
11,2014-10-20,9.966165
12,2014-10-20,9.45509
13,2014-10-20,11.4994
14,2014-10-20,9.19955
15,2014-10-20,12.7771
16,2014-10-20,7.41074
01,2014-10-21,8.092195
02,2014-10-21,5.62195
03,2014-10-21,3.577605
04,2014-10-21,8.688459999999999
05,2014-10-21,4.59977
06,2014-10-21,7.666295
07,2014-10-21,6.133030000000001
08,2014-10-21,4.08869
09,2014-10-21,8.944000000000001
10,2014-10-21,7.66629
11,2014-10-21,8.56069
12,2014-10-21,7.41075
13,2014-10-21,9.71063
14,2014-10-21,6.64412
15,2014-10-21,8.688459999999999
16,2014-10-21,6.13303
01,2014-10-22,7.28296
02,2014-10-22,10.86055
03,2014-10-22,6.388575
04,2014-10-22,10.7328
05,2014-10-22,5.62195
06,2014-10-22,8.688465
07,2014-10-22,9.58288
08,2014-10-22,8.177375
09,2014-10-22,10.9883
10,2014-10-22,11.4994
11,2014-10-22,12.0105
12,2014-10-22,10.7328
13,2014-10-22,13.7993
14,2014-10-22,11.755
15,2014-10-22,12.5216
16,2014-10-22,10.7328
01,2014-10-23,11.286485
02,2014-10-23,10.221695
03,2014-10-23,8.47551
04,2014-10-23,11.4994
05,2014-10-23,7.155205
06,2014-10-23,9.071775
07,2014-10-23,9.71063
08,2014-10-23,11.49943
09,2014-10-23,9.96617
10,2014-10-23,15.5881
11,2014-10-23,13.288215
12,2014-10-23,8.944000000000001
13,2014-10-23,17.1214
14,2014-10-23,8.944000000000001
15,2014-10-23,14.8215
16,2014-10-23,7.92184
01,2014-10-24,8.347735
02,2014-10-24,19.42127
03,2014-10-24,14.56595
04,2014-10-24,9.71063
05,2014-10-24,12.649345
06,2014-10-24,7.53852
07,2014-10-24,16.48255
08,2014-10-24,14.182645
09,2014-10-24,10.2217
10,2014-10-24,10.2217
11,2014-10-24,12.26605
12,2014-10-24,12.0105
13,2014-10-24,11.5846
14,2014-10-24,24.2766
15,2014-10-24,8.944000000000001
16,2014-10-24,34.2427
01,2014-10-25,10.860565
02,2014-10-25,5.366405
03,2014-10-25,10.349485
04,2014-10-25,6.64412
05,2014-10-25,9.582875
06,2014-10-25,11.243900000000001
07,2014-10-25,4.98309
08,2014-10-25,9.19952
09,2014-10-25,6.64412
10,2014-10-25,18.9102
11,2014-10-25,12.64936
12,2014-10-25,5.87749
13,2014-10-25,6.13303
14,2014-10-25,5.3664
15,2014-10-25,4.08869
16,2014-10-25,5.11086
01,2014-10-26,4.30164
02,2014-10-26,4.21646
03,2014-10-26,3.02393
04,2014-10-26,3.32206
05,2014-10-26,2.55543
06,2014-10-26,3.449825
07,2014-10-26,3.32206
08,2014-10-26,1.66103
09,2014-10-26,7.1552
10,2014-10-26,2.55543
11,2014-10-26,6.00525
12,2014-10-26,10.2217
13,2014-10-26,2.81097
14,2014-10-26,6.38857
15,2014-10-26,3.83315
16,2014-10-26,3.5776
01,2014-10-27,4.599775
02,2014-10-27,9.45509
03,2014-10-27,3.875735
04,2014-10-27,10.2217
05,2014-10-27,3.96092
06,2014-10-27,8.177375
07,2014-10-27,9.19954
08,2014-10-27,4.21646
09,2014-10-27,13.7993
10,2014-10-27,4.59978
11,2014-10-27,8.688445
12,2014-10-27,10.7328
13,2014-10-27,5.87749
14,2014-10-27,11.4994
15,2014-10-27,6.13303
16,2014-10-27,10.2217
01,2014-10-28,6.64411
02,2014-10-28,9.07177
03,2014-10-28,4.72755
04,2014-10-28,10.7328
05,2014-10-28,5.74972
06,2014-10-28,8.56069
07,2014-10-28,11.1161
08,2014-10-28,6.516345
09,2014-10-28,17.3769
11,2014-10-28,19.9323
12,2014-10-28,18.9102
13,2014-10-28,11.755
14,2014-10-28,14.0549
15,2014-10-28,11.2439
16,2014-10-28,9.96617
01,2014-10-29,12.05309
02,2014-10-29,18.27135
03,2014-10-29,9.114355
04,2014-10-29,22.4878
05,2014-10-29,9.19953
06,2014-10-29,16.35477
07,2014-10-29,16.09923
08,2014-10-29,10.86056
09,2014-10-29,21.2101
10,2014-10-29,19.4213
11,2014-10-29,21.4656
12,2014-10-29,23.5099
13,2014-10-29,25.0432
14,2014-10-29,15.5881
15,2014-10-29,21.9767
16,2014-10-29,14.8215
01,2014-10-30,11.49945
02,2014-10-30,17.1214
03,2014-10-30,13.330815
04,2014-10-30,16.0992
05,2014-10-30,12.521615
06,2014-10-30,14.8215
07,2014-10-30,15.5881
08,2014-10-30,13.288245
09,2014-10-30,22.9989
10,2014-10-30,18.6546
11,2014-10-30,21.84895
12,2014-10-30,33.2206
13,2014-10-30,22.4878
14,2014-10-30,29.1319
15,2014-10-30,20.9545
16,2014-10-30,25.2988
01,2014-10-31,10.860585
02,2014-10-31,15.077
03,2014-10-31,13.203035
04,2014-10-31,16.0992
05,2014-10-31,12.64935
06,2014-10-31,12.64935
07,2014-10-31,15.4604
08,2014-10-31,12.777175
09,2014-10-31,26.3209
10,2014-10-31,14.5659
11,2014-10-31,22.36
12,2014-10-31,19.6768
13,2014-10-31,16.8658
14,2014-10-31,18.3991
15,2014-10-31,15.3326
16,2014-10-31,20.1879
01,2014-11-01,3.875735
02,2014-11-01,5.238635
03,2014-11-01,6.388575
04,2014-11-01,4.59978
05,2014-11-01,4.08869
06,2014-11-01,3.577605
07,2014-11-01,8.560685
08,2014-11-01,5.494170000000001
09,2014-11-01,12.2661
10,2014-11-01,4.85532
11,2014-11-01,10.47726
12,2014-11-01,15.3326
13,2014-11-01,3.5776
14,2014-11-01,12.7771
15,2014-11-01,3.32206
16,2014-11-01,11.4994
01,2014-11-02,4.13128
02,2014-11-02,8.81624
03,2014-11-02,8.347725
04,2014-11-02,3.83315
05,2014-11-02,6.899635
06,2014-11-02,5.494175
07,2014-11-02,5.62195
08,2014-11-02,8.688465
09,2014-11-02,5.62195
10,2014-11-02,6.38857
11,2014-11-02,8.177365
12,2014-11-02,23.2544
13,2014-11-02,7.66629
14,2014-11-02,21.9767
15,2014-11-02,4.59977
16,2014-11-02,15.077
01,2014-11-03,5.11086
03,2014-11-03,7.83665
05,2014-11-03,4.59977
06,2014-11-03,5.87749
08,2014-11-03,4.34423
10,2014-11-03,9.45509
11,2014-11-03,10.4773
01,2014-11-04,13.7993
02,2014-11-04,13.79931
03,2014-11-04,19.6768
04,2014-11-04,8.17737
05,2014-11-04,16.6103
06,2014-11-04,14.3104
07,2014-11-04,18.01575
08,2014-11-04,12.521615
09,2014-11-04,29.8985
10,2014-11-04,18.3991
11,2014-11-04,28.1097
12,2014-11-04,31.4318
13,2014-11-04,20.699
14,2014-11-04,28.3653
15,2014-11-04,17.6325
16,2014-11-04,25.5543
01,2014-11-05,8.560665
02,2014-11-05,21.721115
03,2014-11-05,17.63248
04,2014-11-05,9.96617
05,2014-11-05,15.971445
06,2014-11-05,8.17735
07,2014-11-05,17.888
08,2014-11-05,11.499445
09,2014-11-05,23.2544
10,2014-11-05,13.5438
11,2014-11-05,23.2544
12,2014-11-05,37.3093
13,2014-11-05,16.6103
14,2014-11-05,39.6092
15,2014-11-05,12.5216
16,2014-11-05,39.3536
01,2014-11-06,20.2731
02,2014-11-06,21.9767
03,2014-11-06,12.0531
04,2014-11-06,20.4434
05,2014-11-06,11.88275
06,2014-11-06,16.227
07,2014-11-06,13.41601
08,2014-11-06,12.393845
09,2014-11-06,19.1657
10,2014-11-06,22.2322
11,2014-11-06,24.53215
12,2014-11-06,19.4213
13,2014-11-06,27.3431
14,2014-11-06,14.8215
15,2014-11-06,26.0654
16,2014-11-06,15.8437
01,2014-11-07,13.203025
02,2014-11-07,15.84365
03,2014-11-07,10.6902
04,2014-11-07,13.5438
05,2014-11-07,8.816245
06,2014-11-07,8.43291
07,2014-11-07,8.68848
08,2014-11-07,7.79405
09,2014-11-07,16.6103
10,2014-11-07,17.888
11,2014-11-07,19.42125
12,2014-11-07,12.5216
13,2014-11-07,28.3653
14,2014-11-07,13.0327
15,2014-11-07,18.3991
16,2014-11-07,10.4773
01,2014-11-08,16.73805
02,2014-11-08,14.31041
03,2014-11-08,7.197795
04,2014-11-08,24.2766
05,2014-11-08,9.966150000000001
06,2014-11-08,13.54375
07,2014-11-08,17.63245
08,2014-11-08,9.96619
09,2014-11-08,16.3547
10,2014-11-08,5.3664
11,2014-11-08,13.9271
12,2014-11-08,12.7771
13,2014-11-08,17.1214
14,2014-11-08,13.0327
15,2014-11-08,17.3769
16,2014-11-08,9.199540000000001
01,2014-11-09,10.3495
02,2014-11-09,15.204815
03,2014-11-09,16.31215
04,2014-11-09,9.45509
05,2014-11-09,14.56595
06,2014-11-09,10.7328
07,2014-11-09,12.649375
08,2014-11-09,13.92705
09,2014-11-09,14.5659
10,2014-11-09,17.1214
11,2014-11-09,21.72115
12,2014-11-09,24.2766
13,2014-11-09,18.6546
14,2014-11-09,24.5321
15,2014-11-09,20.699
16,2014-11-09,22.9989
01,2014-11-10,13.7141
02,2014-11-10,15.5881
03,2014-11-10,15.88625
04,2014-11-10,9.199540000000001
05,2014-11-10,15.20475
06,2014-11-10,13.7993
07,2014-11-10,13.7993
08,2014-11-10,13.54378
09,2014-11-10,24.5321
10,2014-11-10,21.7212
11,2014-11-10,28.74855
12,2014-11-10,33.9872
13,2014-11-10,26.5765
14,2014-11-10,32.965
15,2014-11-10,15.3326
16,2014-11-10,29.8985
01,2014-11-11,9.880975
02,2014-11-11,13.9271
03,2014-11-11,8.816215
04,2014-11-11,14.5659
05,2014-11-11,7.79404
06,2014-11-11,10.98833
07,2014-11-11,13.032665
08,2014-11-11,7.79406
09,2014-11-11,21.4656
10,2014-11-11,13.0327
11,2014-11-11,19.29345
12,2014-11-11,18.6546
13,2014-11-11,20.699
14,2014-11-11,15.3326
15,2014-11-11,17.1214
16,2014-11-11,15.3326
01,2014-11-12,11.96795
02,2014-11-12,23.38215
03,2014-11-12,17.67505
04,2014-11-12,16.8658
05,2014-11-12,17.88801
06,2014-11-12,13.160435
07,2014-11-12,20.44345
08,2014-11-12,13.9271
09,2014-11-12,22.7433
10,2014-11-12,18.9102
11,2014-11-12,21.4656
12,2014-11-12,32.965
13,2014-11-12,22.9989
14,2014-11-12,35.0094
15,2014-11-12,20.699
16,2014-11-12,22.7433
01,2014-11-13,12.564185
03,2014-11-13,8.17737
05,2014-11-13,8.17737
06,2014-11-13,10.9883
08,2014-11-13,16.6103
10,2014-11-13,20.699
11,2014-11-13,23.5099
13,2014-11-13,24.021
15,2014-11-13,17.888
